City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sisimiut,66.9395,-53.6735,7.76,73,16,3.42,GL,1691264157
84,avarua,-21.2078,-159.775,22.03,78,100,2.57,CK,1691263918
85,dudinka,69.4058,86.1778,13.68,63,3,2.23,RU,1691264158
86,nogliki,51.8333,143.1667,12.08,84,54,1.77,RU,1691264158
87,quellon,-43.1167,-73.6167,9.14,76,75,3.09,CL,1691264159
88,puerto ayora,-0.7393,-90.3518,28.98,91,45,3.58,EC,1691264159
89,zhangjiakou,40.81,114.8794,21.43,67,92,1.71,CN,1691264160
90,piacabucu,-10.4056,-36.4344,23.66,86,51,3.5,BR,1691264160
91,wailua homesteads,22.0669,-159.378,27.44,77,20,5.66,US,1691263998
92,aktau,43.65,51.2,31.32,36,0,6.34,KZ,1691264161
93,haiku-pauwela,20.9219,-156.3051,27.32,61,20,8.75,US,1691264162
94,atafu village,-8.5421,-172.5159,28.03,76,26,5.53,TK,1691264162
95,nova sintra,14.8667,-24.7167,22.64,80,4,7.49,CV,1691264163
96,mossel bay,-34.1831,22.146,14.96,74,100,3.76,ZA,1691264164
97,mount pearl,47.5166,-52.7813,19.92,73,75,6.17,CA,1691264164
98,edinburgh of the seven seas,-37.0676,-12.3116,13.64,80,40,16.52,SH,1691264165
99,gowurdak,37.8124,66.0466,30.69,18,0,4.04,TM,1691264165
100,darwin,-12.4611,130.8418,22.99,83,75,1.03,AU,1691264166
101,changping,40.2186,116.2197,25.8,93,97,1.86,CN,1691264166
102,vavuniya,8.7514,80.4971,24.45,88,100,3.23,LK,1691264167
103,touros,-5.1989,-35.4608,25.86,77,100,7.72,BR,1691264167
104,howrah,22.5892,88.3103,29.0,84,75,4.63,IN,1691264168
105,kenai,60.5544,-151.2583,17.05,67,100,1.54,US,1691264168
106,watsa,3.0372,29.5355,18.5,97,100,0.52,CD,1691264169
107,yellowknife,62.456,-114.3525,20.31,42,75,3.6,CA,1691264122
108,papao,-17.75,-149.55,27.82,77,74,1.52,PF,1691264170
109,al ghayzah,16.2079,52.176,26.66,82,69,4.04,YE,1691264171
110,rongelap,11.1635,166.8941,28.31,75,68,6.62,MH,1691264171
111,lakatoro,-16.0999,167.4164,23.21,86,77,5.07,VU,1691264053
112,ribeira grande,38.5167,-28.7,23.76,78,75,3.09,PT,1691264172
113,tonj,7.2737,28.6822,21.87,96,98,1.24,SS,1691264172
114,east london,-33.0153,27.9116,20.02,40,0,3.71,ZA,1691264173
115,tiksi,71.6872,128.8694,1.71,81,97,2.96,RU,1691264173
116,colares,38.7992,-9.4469,30.81,24,0,10.8,PT,1691264174
117,bandarbeyla,9.4942,50.8122,24.32,83,26,14.45,SO,1691264175
118,garden city,42.3256,-83.331,28.26,50,75,2.06,US,1691263954
119,utrik,11.2278,169.8474,27.94,70,96,6.94,MH,1691264176
120,emerald,-23.5333,148.1667,12.54,72,0,3.1,AU,1691263944
121,aasiaat,68.7098,-52.8699,1.85,92,85,2.39,GL,1691264177
122,ingeniero guillermo n. juarez,-23.9,-61.85,35.17,18,0,7.26,AR,1691264177
123,tarrafal de sao nicolau,16.5667,-24.3667,25.51,77,67,6.7,CV,1691264178
124,freetown,8.484,-13.2299,25.28,90,72,4.05,SL,1691264178
125,carnarvon,-24.8667,113.6333,18.68,80,1,3.17,AU,1691264179
126,shawano,44.7822,-88.609,26.99,50,0,3.09,US,1691264179
127,codrington,-38.2667,141.9667,7.88,83,67,2.04,AU,1691264180
128,rockport,28.0206,-97.0544,36.69,70,0,6.17,US,1691264181
129,cabo san lucas,22.8909,-109.9124,35.34,66,40,6.17,MX,1691263883
130,marsh harbour,26.5412,-77.0636,30.52,70,68,5.54,BS,1691264182
131,yelizovo,53.1873,158.3805,13.08,100,75,3.13,RU,1691264182
132,puerto asis,0.5133,-76.5007,28.36,60,86,1.09,CO,1691264183
133,elliot lake,46.3834,-82.6331,24.38,34,34,1.12,CA,1691264183
134,usogorsk,63.4106,48.6872,15.95,96,20,2.51,RU,1691264184
135,curumani,9.1999,-73.5427,38.23,35,54,1.5,CO,1691264184
136,vilyuchinsk,52.9306,158.4028,13.15,82,0,3.42,RU,1691264185
137,mata-utu,-13.2816,-176.1745,27.71,75,100,5.25,WF,1691264185
138,ipswich,52.0592,1.1555,15.16,89,100,5.66,GB,1691264186
139,kununurra,-15.7667,128.7333,24.99,36,100,3.09,AU,1691264186
140,nova vicosa,-17.8919,-39.3719,23.3,65,5,4.23,BR,1691264187
141,nar'yan-mar,67.6713,53.087,18.86,86,15,1.95,RU,1691264187
142,callaway,30.153,-85.5699,32.76,79,20,2.57,US,1691264188
143,whitehorse,60.7161,-135.0538,21.43,42,40,4.12,CA,1691264129
144,lebu,-37.6167,-73.65,12.5,73,0,1.5,CL,1691263945
145,glen innes,-29.7333,151.7333,4.68,94,24,1.75,AU,1691264189
146,novodvinsk,64.4165,40.8122,15.77,98,8,3.03,RU,1691264189
147,enewetak,11.3474,162.3373,28.49,75,99,6.14,MH,1691264190
148,doka,13.5167,35.7667,22.33,87,100,4.98,SD,1691264191
149,constantia,44.1833,28.65,23.38,84,0,4.72,RO,1691264192
150,borujen,31.9652,51.2873,21.97,20,1,1.83,IR,1691264192
151,kailua-kona,19.6406,-155.9956,28.06,73,40,3.6,US,1691263978
152,egilsstadir,65.2653,-14.3948,11.95,62,75,4.63,IS,1691264193
153,jamestown,42.097,-79.2353,24.73,68,100,3.6,US,1691264014
154,qaqortoq,60.7167,-46.0333,9.36,75,2,1.43,GL,1691264194
155,chivacoa,10.1603,-68.895,31.97,53,38,3.65,VE,1691264194
156,taroa,8.7058,171.2275,28.14,69,86,6.58,MH,1691264195
157,georgetown,5.4112,100.3354,26.96,95,20,1.54,MY,1691263967
158,monroeville,40.4212,-79.7881,29.02,52,75,1.54,US,1691264196
159,errachidia,31.9275,-4.4285,39.03,8,0,3.09,MA,1691264196
160,mao,39.8885,4.2658,24.31,69,20,2.57,ES,1691264197
161,bac lieu,9.285,105.7244,26.33,88,85,3.58,VN,1691264198
162,san antonio de pale,-1.4014,5.6325,22.85,76,40,4.12,GQ,1691264198
163,tangalle,6.024,80.7911,26.46,82,100,5.49,LK,1691264199
164,strathmore,51.0501,-113.3852,24.97,46,70,3.13,CA,1691264199
165,flying fish cove,-10.4217,105.6791,24.82,88,100,6.17,CX,1691264199
166,plettenberg bay,-34.0527,23.3716,18.25,52,88,1.56,ZA,1691264200
167,erdemli,36.605,34.3084,27.64,85,24,1.74,TR,1691263983
168,linton,39.0348,-87.1658,30.21,76,100,4.38,US,1691264201
169,hawaiian paradise park,19.5933,-154.9731,26.05,91,100,2.06,US,1691264202
170,sinop,41.7711,34.8709,22.1,60,0,3.26,TR,1691264202
171,padang,-0.9492,100.3543,24.03,89,46,1.9,ID,1691264203
172,priargunsk,50.3691,119.1012,12.87,74,84,1.03,RU,1691264203
173,togur,58.3631,82.8265,12.07,71,60,2.08,RU,1691264203
174,kodiak,57.79,-152.4072,11.73,94,100,3.09,US,1691263999
175,stanley,54.868,-1.6985,12.1,86,20,3.6,GB,1691264003
176,presidente venceslau,-21.8761,-51.8439,29.54,27,0,1.67,BR,1691264205
177,cockburn town,21.4612,-71.1419,30.98,66,40,6.17,TC,1691264206
178,batalha,-9.6778,-37.1247,24.54,75,79,5.19,BR,1691264206
179,santa ana,33.7456,-117.8678,37.14,56,0,4.63,US,1691264206
180,minas de marcona,-15.2119,-75.1103,16.73,62,9,3.44,PE,1691264207
181,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,3.0,RU,1691264207
182,belmonte,-15.8631,-38.8828,23.44,66,0,2.89,BR,1691264208
183,bamboo flat,11.7,92.7167,28.05,83,40,4.12,IN,1691264208
184,konarka,19.9,86.1167,27.22,78,98,5.29,IN,1691264209
185,greymouth,-42.4667,171.2,8.98,92,100,0.89,NZ,1691264161
186,harstad,68.799,16.5293,12.86,83,13,7.15,NO,1691264210
187,port elizabeth,-33.918,25.5701,14.16,88,0,1.03,ZA,1691264210
188,east grand forks,47.93,-97.0245,29.13,62,75,3.09,US,1691264211
189,castillos,-34.1667,-53.8333,13.0,63,1,3.62,UY,1691264211
190,la'ie,21.6477,-157.9253,28.98,70,27,1.79,US,1691264211
191,forster,-32.1667,152.5167,9.1,100,24,3.6,AU,1691264212
192,kuusamo,65.9667,29.1833,12.52,95,5,3.02,FI,1691264212
193,mount isa,-20.7333,139.5,13.87,58,0,2.57,AU,1691264213
194,itoman,26.1247,127.6694,27.43,92,75,18.52,JP,1691264213
195,labuan,5.2767,115.2417,26.2,88,20,0.0,MY,1691264214
196,moses lake,47.1301,-119.2781,22.38,64,100,2.06,US,1691264215
197,urangan,-25.3,152.9,17.06,79,54,4.54,AU,1691264215
198,port alfred,-33.5906,26.891,20.79,47,0,3.73,ZA,1691264215
199,fort mcmurray,56.7268,-111.381,22.77,60,0,3.6,CA,1691264080
200,luanda,-8.8368,13.2343,22.0,83,75,5.14,AO,1691263939
201,kristiansund,63.1115,7.732,14.03,67,100,3.09,NO,1691264217
202,luderitz,-26.6481,15.1594,14.46,77,17,3.68,NA,1691264217
203,port lincoln,-34.7333,135.8667,11.67,63,100,3.76,AU,1691264218
204,kajaani,64.2273,27.7285,16.03,82,0,1.03,FI,1691264219
205,mariehamn,60.0973,19.9348,17.12,82,0,5.14,AX,1691264219
206,maswa,-2.6833,33.9833,21.67,46,97,4.72,TZ,1691264220
207,remire-montjoly,4.9167,-52.2667,30.02,70,0,6.17,GF,1691264220
208,saint-philippe,-21.3585,55.7679,21.77,82,88,7.59,RE,1691264221
209,liski,50.9841,39.5155,23.79,55,1,2.92,RU,1691264221
210,taos,36.4072,-105.5731,33.08,16,20,6.17,US,1691264222
211,tuytepa,41.0321,69.3625,27.19,26,3,1.09,UZ,1691264222
212,banda aceh,5.5577,95.3222,26.71,83,95,2.67,ID,1691264223
213,nambucca,-30.6333,152.9833,11.01,86,4,2.65,AU,1691264223
214,cirebon,-6.7063,108.557,23.66,83,48,3.38,ID,1691264224
215,sorong,-0.8833,131.25,24.12,90,100,5.83,ID,1691264225
216,horsham,51.064,-0.3272,15.25,81,75,7.72,GB,1691264226
217,dongfeng,42.6403,125.5118,15.57,89,92,1.4,CN,1691264226
218,naze,28.3667,129.4833,25.51,92,99,6.65,JP,1691264227
219,anadyr,64.75,177.4833,11.28,87,100,8.94,RU,1691264227
220,college,64.8569,-147.8028,23.45,58,40,0.45,US,1691264228
221,chechelnyk,48.8353,26.6484,24.06,38,0,6.5,UA,1691264228
222,al majaridah,19.1236,41.9111,33.03,37,16,1.24,SA,1691264229
223,timbuktu,16.7735,-3.0074,33.41,44,88,8.5,ML,1691264230
224,behompy,-23.2496,43.8557,20.26,61,4,2.57,MG,1691264230
225,ketchikan,55.3422,-131.6461,21.26,60,75,2.57,US,1691263996
226,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,6.17,EC,1691264231
227,meraux,29.933,-89.9498,37.78,54,0,5.14,US,1691264232
228,nemuro,43.3236,145.575,14.8,98,100,3.28,JP,1691264232
229,cabedelo,-6.9811,-34.8339,28.37,80,5,6.1,BR,1691264233
230,necochea,-38.5473,-58.7368,12.32,56,100,5.41,AR,1691264233
231,napier,-39.4833,176.9167,4.11,80,6,2.24,NZ,1691264234
232,newman,37.3138,-121.0208,33.36,16,0,3.08,US,1691264234
233,tulun,54.5611,100.5792,13.24,63,90,1.53,RU,1691264235
234,saint-pierre,-21.3393,55.4781,21.82,73,0,10.29,RE,1691264235
235,campbell river,50.0163,-125.2446,28.21,44,20,4.12,CA,1691264070
236,agdam,39.991,46.9274,26.32,42,0,2.67,AZ,1691264236
237,okhotsk,59.3833,143.3,15.71,67,86,2.26,RU,1691264237
238,ad dilam,23.9915,47.1627,36.23,8,100,4.76,SA,1691264238
239,tabas,33.5959,56.9244,38.12,15,0,5.14,IR,1691264239
240,mount pleasant,32.7941,-79.8626,32.81,76,20,3.09,US,1691263980
241,sittwe,20.15,92.9,27.21,86,89,5.9,MM,1691264240
242,cassilandia,-19.1133,-51.7342,32.23,15,17,2.59,BR,1691264240
243,puerto armuelles,8.2833,-82.8667,34.99,69,62,3.58,PA,1691264241
244,lethem,3.3803,-59.7968,29.46,70,91,0.16,GY,1691264241
245,sidrolandia,-20.9319,-54.9614,31.69,21,0,3.25,BR,1691264242
246,tver,56.8619,35.8931,19.87,77,2,1.42,RU,1691264058
247,salinas,36.6777,-121.6555,30.55,69,0,5.14,US,1691264243
248,illizi,26.4833,8.4667,39.89,8,0,4.16,DZ,1691264243
249,happy valley-goose bay,53.3168,-60.3315,23.17,49,75,4.12,CA,1691264244
250,sitka,57.0531,-135.33,20.94,64,40,1.54,US,1691263996
251,monte patria,-30.6919,-70.9467,19.51,54,4,2.45,CL,1691264154
252,sur,22.5667,59.5289,30.07,63,100,5.01,OM,1691264077
253,cheremushki,52.8356,91.3944,16.23,96,98,1.12,RU,1691264246
